name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Dugger John,M,born 1948,1948,1675,"Bellflower, United States",Unknown,http://www.tate.org.uk/art/artists/john-dugger-1040
Dughet Gaspard,M,1615–1675,1615,1675,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gaspard-dughet-12074
Dumas Marlene,F,born 1953,1953,1960,"Cape Town, South Africa",Unknown,http://www.tate.org.uk/art/artists/marlene-dumas-2407
Dunbar Evelyn,F,1906–1960,1906,1960,"Reading, United Kingdom","Kent, United Kingdom",http://www.tate.org.uk/art/artists/evelyn-dunbar-1041
Duncombe Susanna,F,1725–1812,1725,1812,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/susanna-duncombe-nee-susanna-highmore-2284
Dunham Carroll,M,born 1949,1949,1807,"Old Lyme, United States",Unknown,http://www.tate.org.uk/art/artists/carroll-dunham-2279
Dunker Balthazar Anton,M,,1746,1807,"Saal, Deutschland","Berne, Deutschland",http://www.tate.org.uk/art/artists/balthazar-anton-dunker-2619
Dunlop Ronald Ossory,M,1894–1973,1894,1973,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ronald-ossory-dunlop-1042
Dunoyer de Segonzac André,M,1884–1974,1884,1974,"Boussy-Saint-Antoine, France","Paris, France",http://www.tate.org.uk/art/artists/andre-dunoyer-de-segonzac-1043
Dunstan Bernard,M,born 1920,1920,1797,"Middlesex, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bernard-dunstan-1044
Dupont Gainsborough,M,1754–1797,1754,1797,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/gainsborough-dupont-162
Durant Sam,M,born 1961,1961,1970,"Seattle, United States",Unknown,http://www.tate.org.uk/art/artists/sam-durant-9914
Durham Jimmie,M,born 1940,1940,1970,"Arkansas, United States",Unknown,http://www.tate.org.uk/art/artists/jimmie-durham-11953
Durrant Jennifer,F,born 1942,1942,1970,"Brighton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jennifer-durrant-1046
Durst Alan L.,M,1883–1970,1883,1970,"Hampshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/alan-l-durst-1047
Dyce William,M,1806–1864,1806,1864,"Aberdeen, United Kingdom","Streatham, United Kingdom",http://www.tate.org.uk/art/artists/william-dyce-164
Dzama Marcel,M,born 1974,1974,2009,"Winnipeg, Canada",Unknown,http://www.tate.org.uk/art/artists/marcel-dzama-6860
Dzamonja Dusan,M,1928–2009,1928,2009,"Strumica, Makedonija","Zagreb, Hrvatska",http://www.tate.org.uk/art/artists/dusan-dzamonja-1048
Eardley Joan,F,1921–1963,1921,1963,"West Sussex, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/joan-eardley-1049
Earnshaw Anthony,M,1924–2001,1924,2001,"Ilkley, United Kingdom","Saltburn-by-the-Sea, United Kingdom",http://www.tate.org.uk/art/artists/anthony-earnshaw-16658
East Sir Alfred,M,1844–1913,1849,1913,"Kettering, United Kingdom","Kettering, United Kingdom",http://www.tate.org.uk/art/artists/sir-alfred-east-165
Eastlake Sir Charles Lock,M,1793–1865,1793,1865,Plymouth,"England, United Kingdom",http://www.tate.org.uk/art/artists/sir-charles-lock-eastlake-166
Edmier Keith,M,born 1967,1967,1821,"Chicago, United States",Unknown,http://www.tate.org.uk/art/artists/keith-edmier-3096
Edridge Henry,M,1769–1821,1769,1821,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-edridge-167
Edwards Edwin,M,1823–1879,1823,1879,"Framlingham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-edwards-168
Edwards Jeffery,M,born 1945,1945,1863,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jeffery-edwards-1050
Edwards Sylvia,F,born 1937,1937,1863,"Boston, United States",Unknown,http://www.tate.org.uk/art/artists/sylvia-edwards-2252
Egg Augustus Leopold,M,1816–1863,1816,1863,"London, United Kingdom","Alger, Al-Jaza'ir",http://www.tate.org.uk/art/artists/augustus-leopold-egg-169
Egley William Maw,M,1826–1916,1826,1916,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-maw-egley-170
Ehrlich Georg,M,1897–1966,1897,1966,"Wien, Österreich","Luzern, Schweiz",http://www.tate.org.uk/art/artists/georg-ehrlich-1051
Eliasson Olafur,M,born 1967,1967,1881,"København, Danmark",Unknown,http://www.tate.org.uk/art/artists/olafur-eliasson-5239
Elkoussy Hala,F,born 1974,1974,1881,"Al-Qahirah, Misr",Unknown,http://www.tate.org.uk/art/artists/hala-elkoussy-10751
Elliott Geoffrey,M,born 1935,1935,1881,"Derbyshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/geoffrey-elliott-1053
Elmore Alfred,M,1815–1881,1815,1881,"Clonakilty, Éire",Unknown,http://www.tate.org.uk/art/artists/alfred-elmore-171
El-Salahi Ibrahim,M,born 1930,1930,1945,As-Sudan,Unknown,http://www.tate.org.uk/art/artists/ibrahim-el-salahi-16988
Eluard Nusch,F,1906–1945,1906,1945,"Mulhouse, France","Paris, France",http://www.tate.org.uk/art/artists/nusch-eluard-8145
Eluard Paul,M,1895–1952,1895,1952,"Saint Denis-de-l'Hôtel, France","Charenton-le-Pont, France",http://www.tate.org.uk/art/artists/paul-eluard-8147
Elwell Frederick W.,M,1870–1958,1870,1958,"Beverley, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/frederick-w-elwell-1054
Elwyn John,M,1916–1997,1916,1997,"Newcastle Emlyn, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-elwyn-1055
Emanuel Frank L.,M,1865–1948,1865,1948,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frank-l-emanuel-1056
Emett Rowland,M,1906–1990,1906,1990,"London, United Kingdom","Sussex, United Kingdom",http://www.tate.org.uk/art/artists/rowland-emett-1057
Emilian Céline,F,1902–1981,1902,1981,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/celine-emilian-1058
Emin Tracey,F,born 1963,1963,1951,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/tracey-emin-2590
Eneroth Joakim,M,born 1969,1969,1951,Sverige,Unknown,http://www.tate.org.uk/art/artists/joakim-eneroth-14475
Engelbach Florence,F,1872–1951,1872,1951,"Jerez de la Frontera, España",Unknown,http://www.tate.org.uk/art/artists/florence-engelbach-1059
English Simon,M,born 1959,1959,1949,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/simon-english-12112
Ensor James,M,1860–1949,1860,1949,"Oostende, België","Oostende, België",http://www.tate.org.uk/art/artists/james-ensor-1060
Epstein Mitch,M,born 1952,1952,1959,"Holyoke, United States",Unknown,http://www.tate.org.uk/art/artists/mitch-epstein-13597
Epstein Sir Jacob,M,1880–1959,1880,1959,"New York, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-jacob-epstein-1061
Erlanger Rodolphe d',M,1872–1932,1872,1932,"Boulogne-Billancourt, France","Tunis, Tunis",http://www.tate.org.uk/art/artists/rodolphe-derlanger-1062
Erma Thomas,M,1939–1964,1939,1964,"Tartu, Eesti","Paris, France",http://www.tate.org.uk/art/artists/thomas-erma-1063
Ernest John,M,1922–1994,1922,1994,"Philadelphia, United States","Exeter, United Kingdom",http://www.tate.org.uk/art/artists/john-ernest-1064
Ernst Max,M,1891–1976,1891,1976,"Brühl, Deutschland","Paris, France",http://www.tate.org.uk/art/artists/max-ernst-1065
Errazuriz Paz,F,born 1944,1944,1990,"Santiago, Chile",Unknown,http://www.tate.org.uk/art/artists/paz-errazuriz-15851
Erté,M,1892–1990,1892,1990,"Sankt-Peterburg, Rossiya",Unknown,http://www.tate.org.uk/art/artists/erte-romain-de-tirtoff-1066
Erwitt Elliot,M,born 1928,1928,1993,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/elliot-erwitt-12043
Eskandarfar Samira,F,born 1980,1980,1993,"Tehran, Îran",Unknown,http://www.tate.org.uk/art/artists/samira-eskandarfar-13676
Espaliú Pepe,M,1955–1993,1955,1993,"Córdoba, España","Córdoba, España",http://www.tate.org.uk/art/artists/pepe-espaliu-4831
Espinoza Eugenio,M,born 1950,1950,2001,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308
Essenhigh Inka,F,born 1969,1969,2001,"Pennsylvania, United States",Unknown,http://www.tate.org.uk/art/artists/inka-essenhigh-3028
Estes Richard,M,born 1936,1936,2001,"Evanston, United States",Unknown,http://www.tate.org.uk/art/artists/richard-estes-1067
Estève Maurice,M,1904–2001,1904,2001,"Cher, France",Unknown,http://www.tate.org.uk/art/artists/maurice-esteve-1068
Etchells Frederick,M,1886–1973,1886,1973,"Newcastle upon Tyne, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/frederick-etchells-1069
Ethridge Roe,M,born 1969,1969,1849,"Miami, United States",Unknown,http://www.tate.org.uk/art/artists/roe-ethridge-7080
Etrog Sorel,M,born 1933,1933,1849,"Iasi, România",Unknown,http://www.tate.org.uk/art/artists/sorel-etrog-1070
Etty William,M,1787–1849,1787,1849,"York, United Kingdom","York, United Kingdom",http://www.tate.org.uk/art/artists/william-etty-172
Eurich Richard,M,1903–1992,1903,1992,"Bradford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/richard-eurich-1071
Evans Garth,M,born 1934,1934,1973,"Cheshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/garth-evans-1072
Evans Jason,M,born 1968,1968,1973,"Holyhead, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jason-evans-3246
Evans Merlyn Oliver,M,1910–1973,1910,1973,"Cardiff, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/merlyn-oliver-evans-1073
Evans Sebastian,M,1830–1909,1830,1909,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sebastian-evans-2224
Eves Reginald G,M,1876–1941,1876,1941,"London, United Kingdom","Middleton in Teesdale, United Kingdom",http://www.tate.org.uk/art/artists/reginald-g-eves-1074
Ewan Ruth,F,born 1980,1980,1573,"Aberdeen, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ruth-ewan-12939
Eworth Hans,M,active 1540–1573,1540,1573,"Antwerpen, België",Unknown,http://www.tate.org.uk/art/artists/hans-eworth-173
EXPORT VALIE,F,born 1940,1940,2007,Österreich,Unknown,http://www.tate.org.uk/art/artists/valie-export-6411
Eyton Anthony,M,born 1923,1923,2007,"Gloucestershire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/anthony-eyton-1075
Fabro Luciano,M,1936–2007,1936,2007,"Torino, Italia","Milano, Italia",http://www.tate.org.uk/art/artists/luciano-fabro-1076
Faed Thomas,M,1826–1900,1826,1900,"Gatehouse of Fleet, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-faed-174
Fagan Robert,M,c.1745–1816,1745,1816,"London, United Kingdom","Roma, Italia",http://www.tate.org.uk/art/artists/robert-fagan-175
Fahlström Öyvind,M,1928–1976,1928,1976,"São Paulo, Brasil","Stockholm, Sverige",http://www.tate.org.uk/art/artists/oyvind-fahlstrom-4773
Fairhurst Angus,M,1966–2008,1966,2008,"Kent, United Kingdom","Scotland, United Kingdom",http://www.tate.org.uk/art/artists/angus-fairhurst-2591
Fairweather Ian,M,1891–1974,1891,1974,"Bridge of Allan, United Kingdom","Brisbane, Australia",http://www.tate.org.uk/art/artists/ian-fairweather-1077
Falkenstein Claire,F,1909–1997,1909,1997,"Coos Bay, United States",Unknown,http://www.tate.org.uk/art/artists/claire-falkenstein-1078
Fantin-Latour Henri,M,1836–1904,1836,1904,"Grenoble, France","Basse-Normandie, France",http://www.tate.org.uk/art/artists/henri-fantin-latour-1079
Farington Joseph,M,1747–1821,1747,1821,"England, United Kingdom","Didsbury, Canada",http://www.tate.org.uk/art/artists/joseph-farington-176
Farmer Geoffrey,M,born 1967,1967,1907,"Eagle Bay, Canada",Unknown,http://www.tate.org.uk/art/artists/geoffrey-farmer-10350
Farquharson David,M,1839–1907,1839,1907,Perth,"Perth and Kinross, United Kingdom",http://www.tate.org.uk/art/artists/david-farquharson-177
Farquharson Joseph,M,1847–1935,1847,1935,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/joseph-farquharson-178
Farreras Francisco,M,born 1927,1927,1964,"Madrid, España",Unknown,http://www.tate.org.uk/art/artists/francisco-farreras-1080
Fast Omer,M,born 1972,1972,1964,"Yerushalayim, Yisra'el",Unknown,http://www.tate.org.uk/art/artists/omer-fast-10200
Fautrier Jean,M,1898–1964,1898,1964,"Paris, France","Châtenay-Malabry, France",http://www.tate.org.uk/art/artists/jean-fautrier-1081
Fazzini Pericle,M,1913–1987,1913,1987,"Grottammare, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/pericle-fazzini-1082
Fearon Hilda,F,1878–1917,1878,1917,"Banstead, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/hilda-fearon-1083
Fedden Mary,F,1915 – 2012,1915,2012,"Bristol, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/mary-fedden-1084
Federle Helmut,M,born 1944,1944,1940,"Solothurn, Schweiz",Unknown,http://www.tate.org.uk/art/artists/helmut-federle-2677
Fehr Henry C,M,1867–1940,1867,1940,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-c-fehr-1085
Feibusch Hans,M,1898–1998,1898,1998,"Frankfurt an der Oder, Deutschland",Unknown,http://www.tate.org.uk/art/artists/hans-feibusch-1086
Feiler Jo,F,born 1951,1951,2013,United States,Unknown,http://www.tate.org.uk/art/artists/jo-allison-feiler-13198
Feiler Paul,M,1918–2013,1918,2013,"Frankfurt an der Oder, Deutschland",Unknown,http://www.tate.org.uk/art/artists/paul-feiler-1087
Feldmann Hans-Peter,M,born 1941,1941,1979,"Düsseldorf, Deutschland",Unknown,http://www.tate.org.uk/art/artists/hans-peter-feldmann-12632
Fell Sheila,F,1931–1979,1931,1979,"Aspatria, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sheila-fell-1088
Ferguson William Gow,M,c.1633–1695,1633,1695,"Scotland, United Kingdom","Scotland, United Kingdom",http://www.tate.org.uk/art/artists/william-gow-ferguson-179
Fergusson J.D.,M,1874–1961,1874,1961,"Scotland, United Kingdom",Glasgow,http://www.tate.org.uk/art/artists/jd-fergusson-1089
Ferneley John I,M,1782–1860,1782,1860,"Leicestershire, United Kingdom",Melton Mowbray,http://www.tate.org.uk/art/artists/john-ferneley-i-180
Ferneley John II,M,c.1815–1862,1815,1862,"Melton Mowbray, United Kingdom","Manchester, United Kingdom",http://www.tate.org.uk/art/artists/john-ferneley-ii-181
Ferrari León,M,1920–2013,1920,2013,"Buenos Aires, Argentina",Unknown,http://www.tate.org.uk/art/artists/leon-ferrari-10613
Ferrers Benjamin,M,1695–1732,1695,1732,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/benjamin-ferrers-2310
Ferris Dee,F,born 1973,1973,1980,"Paulton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/dee-ferris-6842
Few Elsie,F,1909–1980,1909,1980,Jamaica,Unknown,http://www.tate.org.uk/art/artists/elsie-few-1090
Fielding Anthony Vandyke Copley,M,1787–1855,1787,1855,"England, United Kingdom",Worthing,http://www.tate.org.uk/art/artists/anthony-vandyke-copley-fielding-182
Fielding Brian,M,1933–1986,1933,1986,"Sheffield, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/brian-fielding-2607
Fijalkowski Stanislaw,M,born 1922,1922,1927,Polska,Unknown,http://www.tate.org.uk/art/artists/stanislaw-fijalkowski-1091
Fildes Sir Luke,M,1843–1927,1843,1927,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-luke-fildes-183
Finch Francis Oliver,M,1802–1862,1802,1862,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/francis-oliver-finch-2425
Finden William,M,1787–1852,1787,1852,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-finden-2255
Fine Lois,F,born 1931,1931,1996,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/lois-fine-1092
Fini Leonor,F,1908–1996,1908,1996,"Buenos Aires, Argentina","Paris, France",http://www.tate.org.uk/art/artists/leonor-fini-5287
Finn Michael,M,1921–2002,1921,2002,"Addlestone, United Kingdom","Saint Ives, United Kingdom",http://www.tate.org.uk/art/artists/michael-finn-4817
Finnie John,M,born 1935,1935,2014,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-finnie-1094
Finn-Kelcey Rose,F,1945–2014,1945,2014,"Northampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/rose-finn-kelcey-4745
Fischli Peter,M,born 1952,1952,1923,"Zürich, Schweiz",Unknown,http://www.tate.org.uk/art/artists/peter-fischli-2757
Fisher Brian,M,born 1939,1939,1923,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/brian-fisher-1095
Fisher Joel,M,born 1947,1947,1923,"Salem, United States",Unknown,http://www.tate.org.uk/art/artists/joel-fisher-1096
Fisher Mark,M,1841–1923,1841,1923,"Boston, United States",Unknown,http://www.tate.org.uk/art/artists/mark-fisher-184
Fisher Melton,M,1859–1939,1859,1939,"London, United Kingdom","Camberley, United Kingdom",http://www.tate.org.uk/art/artists/melton-fisher-1097
Fisher Roy,M,born 1930,1930,1982,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/roy-fisher-1098
Fitton James,M,1899–1982,1899,1982,"Oldham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/james-fitton-1099
Fitzgerald John Anster,M,1819–1906,1819,1906,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-anster-fitzgerald-185
Flanagan Barry,M,1941–2009,1941,2009,"Prestatyn, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/barry-flanagan-1100
Flavin Dan,M,1933–1996,1933,1996,"Jamaica, United States","Riverhead, United States",http://www.tate.org.uk/art/artists/dan-flavin-1101
Flaxman John,M,1755–1826,1755,1826,"York, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-flaxman-186
Fleury Lili,F,born 1964,1964,1954,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/lili-fleury-11826
Florence Mary Sargant,M,1857–1954,1857,1954,"London, United Kingdom","Twickenham, United Kingdom",http://www.tate.org.uk/art/artists/mary-sargant-florence-187
Floyer Ceal,F,born 1968,1968,1874,"Karachi, Pakistan",Unknown,http://www.tate.org.uk/art/artists/ceal-floyer-2761
Foley John Henry,M,1818–1874,1818,1874,"Dublin, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/john-henry-foley-188
Fontana Lucio,M,1899–1968,1899,1968,"Rosario, Argentina",Unknown,http://www.tate.org.uk/art/artists/lucio-fontana-1102
Forain Jean-Louis,M,1852–1931,1852,1931,"Reims, France","Chesnay, Le, France",http://www.tate.org.uk/art/artists/jean-louis-forain-1103
Forbes Elizabeth,F,1859–1912,1859,1912,"Ottawa, Canada","Newlyn, United Kingdom",http://www.tate.org.uk/art/artists/elizabeth-forbes-189
Forbes Stanhope Alexander,M,1857–1947,1857,1947,"Dublin, Éire","Newlyn, United Kingdom",http://www.tate.org.uk/art/artists/stanhope-alexander-forbes-190
Forbes Vivian,F,1891–1937,1891,1937,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/vivian-forbes-1104
Forbes-Robertson Eric,M,1865–1935,1865,1935,"Dumfries, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/eric-forbes-robertson-1105
Ford Edward Onslow,M,1852–1901,1852,1901,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-onslow-ford-191
Ford Laura,F,born 1961,1961,2002,"Cardiff, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/laura-ford-2733
Ford Mary,F,born 1946,1946,2002,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/mary-ford-1106
Förg Günther,M,born 1952,1952,2002,"Schwaben, Deutschland",Unknown,http://www.tate.org.uk/art/artists/gunther-forg-2260
Forge Andrew,M,1923–2002,1923,2002,"Kent, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/andrew-forge-1107
Forsyth Iain,M,born 1973,1973,1899,"Manchester, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/iain-forsyth-10692
Fosso Samuel,M,born 1962,1962,1899,"Kumba, Cameroun",Unknown,http://www.tate.org.uk/art/artists/samuel-fosso-11360
Foster Myles Birket,M,1825–1899,1825,1899,"Tynemouth, United Kingdom","Weybridge, United Kingdom",http://www.tate.org.uk/art/artists/myles-birket-foster-192
Foster William,M,active 1772–1812,1772,1812,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-foster-2495
Fougeron André,M,1913–1998,1913,1998,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/andre-fougeron-2772
Fowler Luke,M,born 1978,1978,1922,"Glasgow, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/luke-fowler-9061
Fox Pitt Douglas,M,1864–1922,1864,1922,"London, United Kingdom","Thorpe, United Kingdom",http://www.tate.org.uk/art/artists/douglas-fox-pitt-1108
Foxton Simon,M,born 1961,1961,1975,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/simon-foxton-3889
Fraenkel Elsa,F,1892–1975,1892,1975,"Bensheim, Deutschland","Bangalore, Bharat",http://www.tate.org.uk/art/artists/elsa-fraenkel-1109
Frampton Edward Reginald,M,1872–1923,1872,1923,"London, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/edward-reginald-frampton-1110
Frampton Meredith,M,1894–1984,1894,1984,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/meredith-frampton-1112
Frampton Sir George,M,1860–1928,1860,1928,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-george-frampton-1111
Francia François Louis Thomas,M,1772–1839,1772,1839,"Calais, France","Calais, France",http://www.tate.org.uk/art/artists/francois-louis-thomas-francia-2565
Francis Mark,M,born 1962,1962,1994,"Newtownards, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/mark-francis-2311
Francis Sam,M,1923–1994,1923,1994,"San Mateo, United States","Santa Monica, United States",http://www.tate.org.uk/art/artists/sam-francis-1113
Frank Robert,M,born 1924,1924,1865,"Zürich, Schweiz",Unknown,http://www.tate.org.uk/art/artists/robert-frank-5275
Frankenthaler Helen,F,born 1928,1928,1865,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/helen-frankenthaler-1114
Fraser Alexander,M,1786–1865,1786,1865,"Edinburgh, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/alexander-fraser-193
Fraser Andrea,F,born 1965,1965,1921,"Montana, United States",Unknown,http://www.tate.org.uk/art/artists/andrea-fraser-9439
Fraser Claud Lovat,M,1890–1921,1890,1921,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/claud-lovat-fraser-1115
Freedman Barnett,M,1901–1958,1901,1958,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/barnett-freedman-1116
Freedman Carl,M,born 1965,1965,1954,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/carl-freedman-2712
Freiles Antonio,M,born 1943,1943,1954,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/antonio-freiles-1117
Frélaut Jean,M,1879–1954,1879,1954,"Grenoble, France","Vannes, France",http://www.tate.org.uk/art/artists/jean-frelaut-1118
French School 18th century,M,1700–1799,1700,1799,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/french-school-18th-century-2330
French School 19th century,M,1800–1899,1800,1899,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/french-school-19th-century-2744
Frenkel Vera,F,born 1938,1938,2011,"Bratislava, Slovenská Republika",Unknown,http://www.tate.org.uk/art/artists/vera-frenkel-1119
Freud Lucian,M,1922–2011,1922,2011,"Berlin, Deutschland","London, United Kingdom",http://www.tate.org.uk/art/artists/lucian-freud-1120
Friedenson Arthur,M,1872–1955,1872,1955,"Leeds, United Kingdom","Parkstone, United States",http://www.tate.org.uk/art/artists/arthur-friedenson-1121
Friedlander Lee,M,born 1934,1934,1949,"Aberdeen, United States",Unknown,http://www.tate.org.uk/art/artists/lee-friedlander-5293
Friend Ian,M,born 1951,1951,1949,"Eastbourne, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ian-friend-1122
Friesz Othon,M,1879–1949,1879,1949,"Le Havre, France","Paris, France",http://www.tate.org.uk/art/artists/othon-friesz-1123
Frink Dame Elisabeth,F,1930–1993,1930,1993,"Suffolk, United Kingdom","Dorset, United Kingdom",http://www.tate.org.uk/art/artists/dame-elisabeth-frink-1124
Fripp Alfred Downing,M,1822–1895,1822,1895,"Bristol, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/alfred-downing-fripp-2426
Fripp George Arthur,M,1813–1896,1813,1896,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-arthur-fripp-2427
Frith William Powell,M,1819–1909,1819,1909,"Ripon, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-powell-frith-194
Frize Bernard,M,born 1949,1949,2007,"Saint-Mandé, France",Unknown,http://www.tate.org.uk/art/artists/bernard-frize-2388
Frohner Adolf,M,1934–2007,1934,2007,"Gross Enzersdorf, Österreich","Wien, Österreich",http://www.tate.org.uk/art/artists/adolf-frohner-1125
Frost Sir Terry,M,1915–2003,1915,2003,"Royal Leamington Spa, United Kingdom","Hayle, United Kingdom",http://www.tate.org.uk/art/artists/sir-terry-frost-1126
Frost William Edward,M,1810–1877,1810,1877,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-edward-frost-195
Froy Martin,M,born 1926,1926,1934,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/martin-froy-1127
Fry Anthony,M,born 1927,1927,1934,"Theydon Bois, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/anthony-fry-1128
Fry Roger,M,1866–1934,1866,1934,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/roger-fry-1129
Frye Thomas,M,1710–1762,1710,1762,Éire,Unknown,http://www.tate.org.uk/art/artists/thomas-frye-2265
Fuchs Emil,M,1866–1929,1866,1929,"Wien, Österreich","New York, United States",http://www.tate.org.uk/art/artists/emil-fuchs-1130
Fukushima Hideko,F,1927–1997,1927,1997,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/hideko-fukushima-17414
Fullard George,M,1923–1973,1923,1973,"Sheffield, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-fullard-1131
Fuller Isaac,M,c.1606–1672,1606,1672,"Greifswald, Deutschland","Dresden, Deutschland",http://www.tate.org.uk/art/artists/isaac-fuller-196
Fuller Sue,F,1914 – 2006,1914,2006,"Pittsburgh, United States",Unknown,http://www.tate.org.uk/art/artists/sue-fuller-1132
Fulleylove John,M,1845–1908,1845,1908,"Leicester, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-fulleylove-197
Fulton Hamish,M,born 1946,1946,1904,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/hamish-fulton-1133
Furlong William,M,born 1944,1944,1904,"Woking, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-furlong-13623
Furse Charles Wellington,M,1868–1904,1868,1904,"Staines, United Kingdom","Camberley, United Kingdom",http://www.tate.org.uk/art/artists/charles-wellington-furse-1134
Fuseli Henry,M,1741–1825,1741,1825,"Zürich, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-fuseli-198
