name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Strang Ian,M,1886–1952,1886,1952,"London, United Kingdom","Buckinghamshire, United Kingdom",http://www.tate.org.uk/art/artists/ian-strang-2003
Strang William,M,1859–1921,1859,1921,"Dunbarton, United Kingdom","Bournemouth, United Kingdom",http://www.tate.org.uk/art/artists/william-strang-534
Streatfeild Robert,M,1786–1852,1786,1852,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robert-streatfeild-387
Stringer Daniel,M,1754–1808,1754,1808,"Cheshire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/daniel-stringer-535
Stroud Peter,M,1921 – 2012,1921,2012,"Ealing, United Kingdom","Princeton, United States",http://www.tate.org.uk/art/artists/peter-stroud-2005
Strudwick John Melhuish,M,1849–1935,1849,1935,"Clapham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-melhuish-strudwick-536
Strunke Niklavs,M,1894–1966,1894,1966,"Gostynin, Polska","Roma, Italia",http://www.tate.org.uk/art/artists/niklavs-strunke-2006
Struth Thomas,M,born 1954,1954,1888,"Geldern, Deutschland",Unknown,http://www.tate.org.uk/art/artists/thomas-struth-2339
Strutt Arthur John,M,1819–1888,1819,1888,"Chelmsford, United Kingdom","Roma, Italia",http://www.tate.org.uk/art/artists/arthur-john-strutt-2627
Stuart Gilbert,M,1755–1828,1755,1828,"North Kingstown, United States","Boston, United States",http://www.tate.org.uk/art/artists/gilbert-stuart-537
Stubbing N.H.,M,1921–1983,1921,1983,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/nh-stubbing-tony-stubbing-2007
Stubbs George,M,1724–1806,1724,1806,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-stubbs-538
Studd Arthur,M,1863–1919,1863,1919,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/arthur-studd-2008
Studin Marin,M,1895–1960,1895,1960,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/marin-studin-2009
Štyrský Jindrich,M,1899–1942,1899,1942,"London, United Kingdom","Praha, Ceská Republika",http://www.tate.org.uk/art/artists/jindrich-styrsky-10610
Suga Kishio,M,born 1944,1944,1933,"Morioka, Nihon",Unknown,http://www.tate.org.uk/art/artists/kishio-suga-12796
Sugimoto Hiroshi,M,born 1948,1948,1933,"Tokyo, Nihon",Unknown,http://www.tate.org.uk/art/artists/hiroshi-sugimoto-2328
Suh Do Ho,M,born 1962,1962,1933,"Soul, Taehan Min'guk",Unknown,http://www.tate.org.uk/art/artists/do-ho-suh-12799
Sullivan Catherine,F,born 1968,1968,1933,"Los Angeles, United States",Unknown,http://www.tate.org.uk/art/artists/catherine-sullivan-8577
Sullivan Christine,F,born 1959,1959,1933,"Boston, United States",Unknown,http://www.tate.org.uk/art/artists/christine-sullivan-4433
Sullivan Edmund J.,M,1869–1933,1869,1933,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edmund-j-sullivan-2010
Sullivan Luke,M,1705–1771,1705,1771,"Louth, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/luke-sullivan-2716
Sultan Altoon,M,born 1948,1948,2009,"Brooklyn, United States",Unknown,http://www.tate.org.uk/art/artists/altoon-sultan-6727
Sultan Donald,M,born 1951,1951,2009,"Asheville, United States",Unknown,http://www.tate.org.uk/art/artists/donald-sultan-6726
Sultan Larry,M,1946–2009,1946,2009,"Brooklyn, United States","Marin, United States",http://www.tate.org.uk/art/artists/larry-sultan-10068
Summers Carol,M,born 1925,1925,1823,"Kingston, United States",Unknown,http://www.tate.org.uk/art/artists/carol-summers-2011
Sunderland Thomas,M,1744–1823,1744,1823,"England, United Kingdom","England, United Kingdom",http://www.tate.org.uk/art/artists/thomas-sunderland-2534
Suschitzky Peter,M,born 1941,1941,1839,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/peter-suschitzky-12053
Sutej Miroslav,M,born 1936,1936,1839,"Duga Resa, Hrvatska",Unknown,http://www.tate.org.uk/art/artists/miroslav-sutej-2012
Sutherland Elizabeth Leveson-Gower Duchess-Countess of,F,1765–1839,1765,1839,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/elizabeth-leveson-gower-duchess-countess-of-sutherland-2575
Sutherland Graham OM,M,1903–1980,1903,1980,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/graham-sutherland-om-2014
Sutton Philip,M,born 1928,1928,1910,"Poole, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/philip-sutton-2015
Sutton Trevor,M,born 1948,1948,1910,"Romford, United States",Unknown,http://www.tate.org.uk/art/artists/trevor-sutton-2236
Swain Tony,M,born 1967,1967,1910,"Lisburn, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/tony-swain-11983
Swan John Macallan,M,1847–1910,1847,1910,"Brentford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-macallan-swan-539
Swanson John,M,born 1938,1938,1933,"Los Angeles, United States",Unknown,http://www.tate.org.uk/art/artists/john-swanson-2016
Swoon,F,born 1977,1977,1933,"New London, United States",Unknown,http://www.tate.org.uk/art/artists/swoon-12478
Swynnerton Annie Louisa,F,1844–1933,1844,1933,"Manchester, United Kingdom","Hayling Island, United Kingdom",http://www.tate.org.uk/art/artists/annie-louisa-swynnerton-540
Sydney Berenice,F,1944–1983,1944,1983,"Esher, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/berenice-sydney-2017
Symons Patrick,M,1925–1993,1925,1993,"Bromley, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/patrick-symons-2018
Szapocznikow Alina,F,1926–1973,1926,1973,"Kalisz, Polska","Haute-Savoie, France",http://www.tate.org.uk/art/artists/alina-szapocznikow-12979
T R Uthco (Doug Hall born 1944 Diane Andrews Hall born 1945 Jody Procter 1944-1998),M,established 1970,1970,1998,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/t-r-uthco-doug-hall-born-1944-diane-andrews-hall-born-1945-jody-procter-1944-1998-15133
Takahashi Tomoko,F,born 1966,1966,1998,"Tokyo, Nihon",Unknown,http://www.tate.org.uk/art/artists/tomoko-takahashi-4451
Takamatsu Jiro,M,1936 –1998,1936,1998,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jiro-takamatsu-15501
Takis,M,born 1925,1925,1939,"Athínai, Ellás",Unknown,http://www.tate.org.uk/art/artists/takis-2019
